Compartment,TotalArea,AreaWaterPortion,AreaUplandPortion,AreaMarshPortion,MarshEdgeLength,Runoff_method,bed_elev,bed_depth,bed_bulk_density,percentForETcalc,sand_adaptionCeoff,Runoff_coeff,RainGage,WindGage,ETGage,CurrentsCoeff_ka,bedFricCoeff_cf,NonSandExp_sedn,NonSandCoeff_sedcalib,SandCoeff_alphased,Marsh_Flow_roughness_Kka,Minimum_Marsh_Flow_Depth_Kkdepth,MarshEdgeErosionRate_myr,offshore_TSS_-9999_if_not_used_CSSos,marsh_elev_mean,marsh_elev_stdv,soil_moisture_depth_Esho,depo_on_off,marh_elev_adjust,!,! Notes
55,82921002,0.388020155,0.005092955,0.606886891,16500600,2,-3.29046,0.05,0.835,10,0.25,40,46,265,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.303602768,-9999,0.361115,0.515255104,0.2,1,-0.515255104,!,2D compartment
56,360683178,0.988081,1.50E-05,0.011904,2028600,2,-2.675714,0.05,0.835,10,0.25,40,46,279,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.043202333,-9999,0.530613,0.603641052,0.2,1,-0.603641052,!,2D compartment
57,376042262,0.882823,3.80E-05,0.117138,12033000,2,-3.084376,0.05,0.835,10,0.25,40,31,279,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.074749194,-9999,0.46498,0.261480951,0.2,1,-0.261480951,!,2D compartment
58,32786454,0.355681849,0.000768745,0.643549406,7591500,2,-1.733196,0.05,0.835,10,0.25,40,53,278,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.271560543,-9999,0.306591,0.22831775,0.2,1,-0.22831775,!,2D compartment
59,196197474,0.31459267,2.75E-05,0.685379806,40719600,2,-0.252433,0.05,0.835,10,0.25,40,32,293,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.286760841,-9999,0.331487,0.186345864,0.2,1,-0.186345864,!,2D compartment
60,45188402,0.394825,0,0.605175,8193600,2,-0.541573,0.05,0.835,10,0.25,40,32,293,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.349781477,-9999,0.355353,0.173133797,0.2,1,-0.173133797,!,2D compartment
61,13253709,0.197146,0.000136,0.802718,1705500,2,-0.391791,0.05,0.835,10,0.25,40,32,293,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.30427614,-9999,0.246062,0.119032504,0.2,1,-0.119032504,!,2D compartment
62,15059235,0.390923,0,0.609077,2070000,2,-0.674836,0.05,0.835,10,0.25,40,32,293,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.511988775,-9999,0.285223,0.142136105,0.2,1,-0.142136105,!,2D compartment
63,41778898,0.645342,0,0.354658,5106600,2,-0.81021,0.05,0.835,10,0.25,40,32,293,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.53526433,-9999,0.264398,0.142460599,0.2,1,-0.142460599,!,2D compartment
64,50433905,0.536261,0,0.463739,8876700,2,-0.634604,0.05,0.835,10,0.25,40,28,305,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.564307264,-9999,0.281473,0.162223174,0.2,1,-0.162223174,!,2D compartment
65,175369087,0.495348,0.000395,0.504257,20707200,2,-1.981009,0.05,0.835,10,0.25,40,39,292,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.418863008,-9999,0.34856,0.213436033,0.2,1,-0.213436033,!,2D compartment
66,196844807,0.822981,5.00E-06,0.177015,12625200,2,-1.162503,0.05,0.835,10,0.25,40,28,305,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.330628638,-9999,0.437926,0.234672088,0.2,1,-0.234672088,!,2D compartment
67,323636140,0.881338,0,0.119,16511400,2,-1.272128,0.05,0.835,10,0.25,40,22,306,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.260342079,-9999,0.454624,0.223150036,0.2,1,-0.223150036,!,2D compartment
68,836722761,0.982918,0.002702,0.01438,4230900,2,-3.261984,0,0.835,10,0.25,40,17,307,1,0.023,0.001,0.5,0,0,0.05,0.05,0.003389945,-9999,0.70022,1.005201083,0.2,0,-1.005201083,!,2D compartment
69,139253370,0.333813,0.360735,0.305452,6673500,2,-1.475251,0.05,0.835,10,0.25,40,11,308,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,1.37373,0.514168987,0.2,1,-0.514168987,!,2D tributary boundary (Qmult > 0)
70,166432286,0.99179,7.00E-05,0.008139,690300,2,-1.994126,0.05,0.835,10,0.25,40,16,317,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.024571349,-9999,0.530781,0.253660797,0.2,1,-0.253660797,!,2D compartment
71,197327267,1,0,0,0,2,-4.171075,0,0.835,10,0.25,40,16,318,1,0.023,0.001,0.5,0,0,0.05,0.05,0,-9999,0.466309089,0.514168987,0.2,0,-0.514168987,!,2D compartment
72,249075480,1,0,0,0,2,-8.143663,0,0.835,10,0.25,40,9,328,1,0.023,0.001,0.5,0,0,0.05,0.05,0,-9999,0.466309089,0.514168987,0.2,0,-0.514168987,!,2D compartment
73,158567981,0.999637,0,0.000363,49500,2,-1.89051,0.05,0.835,10,0.25,40,16,317,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.009779237,-9999,0.513968,0.270466533,0.2,1,-0.270466533,!,2D compartment
74,280129298,1,0,0,0,2,-3.740101,0,0.835,10,0.25,40,16,317,1,0.023,0.001,0.5,0,0,0.05,0.05,0,-9999,0.466309089,0.514168987,0.2,0,-0.514168987,!,2D compartment
75,445222841,0.976527,0.003313,0.02016,4129200,2,-3.707698,0,0.835,10,0.25,40,12,326,1,0.023,0.001,0.5,0,0,0.05,0.05,0.017559319,-9999,0.173573,0.85964876,0.2,0,-0.85964876,!,2D compartment
76,152881845,0.997669,6.00E-06,0.002325,167400,2,-2.012566,0,0.835,10,0.25,40,24,305,1,0.023,0.001,0.5,0,0,0.05,0.05,0.006181364,-9999,0.524879,0.267048441,0.2,0,-0.267048441,!,2D compartment
77,245208234,1,0,0,0,2,-3.423744,0,0.835,10,0.25,40,24,316,1,0.023,0.001,0.5,0,0,0.05,0.05,0,-9999,0.466309089,0.514168987,0.2,0,-0.514168987,!,2D compartment
78,262126587,0.997961,0.000385,0.001655,237600,2,-3.779768,0,0.835,10,0.25,40,19,325,1,0.023,0.001,0.5,0,0,0.05,0.05,0.000987754,-9999,0.192923,0.926917019,0.2,0,-0.926917019,!,2D compartment
79,196054125,0.997861,1.40E-05,0.002125,203400,2,-2.316453,0.05,0.835,10,0.25,40,39,304,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.015612584,-9999,0.066992,0.86988319,0.2,1,-0.86988319,!,2D compartment
80,20424940,0.489427,0.046123,0.464449,2021400,2,-0.63642,0.05,0.835,10,0.25,40,66,251,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.354727317,-9999,1.168236,1.308999853,0.2,1,-1.308999853,!,2D compartment
81,58117048,0.214456,0.018771,0.766773,9813600,2,-0.5,0.05,0.835,10,0.25,40,66,265,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.208431243,-9999,0.445593,0.442082231,0.2,1,-0.442082231,!,2D compartment
